tokenAddress,name,symbol,logo,decimals,priceNative,priceUsd,liquidity,fullyDilutedValuation,createdAt,age_minutes,trackable
AKhMvvojQHHbMZYH8u53qf6QCuZwTWHGXiHeX8ktpump,Ted The Labrador,Ted,,6,0.0000000329651,0.000005272,10419.986930686,5272,2025-06-03T07:30:33.000Z,4.3,True
GRYvGTkgvEnqLANi4PpzSJ4issW7hnT49EVeAFQbiHHa,baby deer,BABYDEER,,6,0.0000000279682,0.000004468,9588.65343239,4468,2025-06-03T07:30:27.000Z,4.4,True
CjeZRqJ4PRURh5XYCbLEVxsDZusvzmtmLxazssuLYbXx,Rabzz,RZ,,6,0.0000000281478,0.000004499,9623.897242274,4499,2025-06-03T07:30:18.000Z,4.5,True
4imCfhzN7vELB6bC5497Nvh6jc2M4BzBGDzmFdHLpump,Green Candle Cat,GCC,,6,0.0000000279610,0.000004467,9586.895791632,4467,2025-06-03T07:30:17.000Z,4.6,True
CpGwifaPz12kbd8TqYtpu4FqmZ1UkYnXro1AochRpump,Community Meme Graveyard,RIPMEMES,,6,0.0000000279704,0.000004469,9589.020335704,4469,2025-06-03T07:30:14.000Z,4.6,True
pBq8Eqa2TxEsv2rVP5E4vJB8Ee7xM5fRyUKq4LPpump,RLUSD,$,,6,0.0000000301873,0.000004825,9965.528091848,4825,2025-06-03T07:30:12.000Z,4.6,True
2KRs9ECnZNQkRg5AFsSyVgpUFLvWiYUPFT2qiz89pump,Old man,Old man,,6,0.0000000279704,0.000004469,9589.020239194,4469,2025-06-03T07:30:12.000Z,4.6,True
CkE5Wc1h4EJkxRPbAFws9oiGwFbKMo1icRVgJkywpump,hodl to buy your mom a gift,giftcoin,,6,0.0000000279704,0.000004469,9589.0203536,4469,2025-06-03T07:30:05.000Z,4.8,True
CfZYBuqi1NYFPmAh5MybZ5Tc5XtRPsmtXrF7TcjXpump,4uranium,4uranium,,6,0.0000000279704,0.000004469,9589.406526368,4469,2025-06-03T07:30:03.000Z,4.8,True
DHumkZAAAVnEffg99yFag7qtxJduZnbit5mCyv3bpump,Unicorn Finance,UNC,,6,0.0000000279936,0.000004473,9593.389979114,4473,2025-06-03T07:30:00.000Z,4.8,True
4L2JFyQdqjgn6yvTgsK451bVpPgZHmGEWanzsUJApump,Opus4 Self Portrait,Opus4,,6,0.0000000279610,0.000004467,9587.808600498,4467,2025-06-03T07:29:58.000Z,4.9,True
2J4uhPMHshPfsdXLQbRLD3eVPHswt7JvH2PNgTV1pump,オコジ,Roku,,6,0.0000000279704,0.000004467,9585.31330743,4467,2025-06-03T07:29:58.000Z,4.9,True
AGdVBXNR4kZA18Cw4BLPytYzfVccvES1E32M6ZA4pump,Audit & Smart Contract Hub,BunzzDev,,6,0.0000000279704,0.000004469,9589.406641736,4469,2025-06-03T07:29:54.000Z,4.9,True
