2025-06-06 18:17:10,219 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:17:10,219 | INFO | 📊 active trackers: 15
2025-06-06 18:17:45,194 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:17:45,196 | INFO | 📊 active trackers: 15
2025-06-06 18:18:19,562 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:18:19,564 | INFO | 📊 active trackers: 15
2025-06-06 18:18:54,923 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:18:54,925 | INFO | 📊 active trackers: 15
2025-06-06 18:19:29,460 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:19:29,462 | INFO | 📊 active trackers: 15
2025-06-06 18:20:02,536 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:20:02,536 | INFO | 📊 active trackers: 15
2025-06-06 18:20:39,647 | WARNING | Moralis HTTP 500
2025-06-06 18:20:39,749 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:20:39,750 | INFO | 📊 active trackers: 15
2025-06-06 18:21:13,685 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:21:13,687 | INFO | 📊 active trackers: 15
2025-06-06 18:21:48,073 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:21:48,074 | INFO | 📊 active trackers: 15
2025-06-06 18:22:21,349 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:22:21,350 | INFO | 📊 active trackers: 15
2025-06-06 18:22:56,035 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:22:56,036 | INFO | 📊 active trackers: 15
2025-06-06 18:23:29,842 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:23:29,844 | INFO | 📊 active trackers: 15
2025-06-06 18:24:04,230 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:24:04,231 | INFO | 📊 active trackers: 15
2025-06-06 18:24:38,449 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:24:38,451 | INFO | 📊 active trackers: 15
2025-06-06 18:25:12,039 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:25:12,041 | INFO | 📊 active trackers: 15
2025-06-06 18:25:45,186 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:25:45,188 | INFO | 📊 active trackers: 15
2025-06-06 18:26:18,790 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:26:18,792 | INFO | 📊 active trackers: 15
2025-06-06 18:26:52,533 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:26:52,534 | INFO | 📊 active trackers: 15
2025-06-06 18:27:24,900 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:27:24,902 | INFO | 📊 active trackers: 15
2025-06-06 18:27:59,348 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:27:59,350 | INFO | 📊 active trackers: 15
2025-06-06 18:28:33,667 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:28:33,668 | INFO | 📊 active trackers: 15
2025-06-06 18:29:08,635 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:29:08,638 | INFO | 📊 active trackers: 15
2025-06-06 18:29:42,364 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:29:42,367 | INFO | 📊 active trackers: 15
2025-06-06 18:30:15,297 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:30:15,299 | INFO | 📊 active trackers: 15
2025-06-06 18:30:48,541 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:30:48,542 | INFO | 📊 active trackers: 15
2025-06-06 18:31:21,874 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:31:21,876 | INFO | 📊 active trackers: 15
2025-06-06 18:31:56,552 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:31:56,554 | INFO | 📊 active trackers: 15
2025-06-06 18:32:31,551 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:32:31,553 | INFO | 📊 active trackers: 15
